Indicator Code,Indicator Name,Aggregation method,Dataset,General comments,License Type,License URL,Long definition,Periodicity,Referenceperiod,Short definition,Source,Topic,Unit of measure,Relatedindicators,Development relevance,Limitations and exceptions,Notes from original source,Statistical concept and methodology,Otherweblinks,BasePeriod,Othernotes,Previous Indicator Name,DataQuality,Derivationmethod,Relatedsourcelinks
SG.VAW.2529.LT.ME.ZS,"""Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 25-29)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women age 25-29 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.""",Annual,,,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)""",Violence,Percent,,"""Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children""","""Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.""",,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.""",,,,,,,
SG.VAW.2529.ME.ZS,"""Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 25-29)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women ages 25-29 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.""",Annual,,,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)""",Violence,Percent,,"""Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children""","""Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.""",,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.""",,,,,,,
SG.VAW.3034.LT.ME.ZS,"""Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 30-34)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women ages 30-34 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.""",Annual,,,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)""",Violence,Percent,,"""Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children""","""Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.""",,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.""",,,,,,,
SG.VAW.3034.ME.ZS,"""Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 30-34)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women ages 30-34 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.""",Annual,,,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)""",Violence,Percent,,"""Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children""","""Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.""",,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.""",,,,,,,
SG.VAW.3544.LT.ME.ZS,"""Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 35-44)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women ages 35-44 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.""",Annual,,,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)""",Violence,Percent,,"""Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children""","""Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.""",,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.""",,,,,,,
SG.VAW.3544.ME.ZS,"""Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 35-44)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women ages 35-44 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.""",Annual,,,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)""",Violence,Percent,,"""Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children""","""Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.""",,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.""",,,,,,,
SG.VAW.4554.LT.ME.ZS,"""Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 45-54)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women ages 45-54 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.""",Annual,,,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)""",Violence,Percent,,"""Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children""","""Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.""",,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.""",,,,,,,
SG.VAW.4554.ME.ZS,"""Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 45-54)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women ages 45-54 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.""",Annual,,,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)""",Violence,Percent,,"""Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children""","""Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.""",,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.""",,,,,,,
SG.VAW.5564.LT.ME.ZS,"""Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 55-64)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women ages 55-64 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.""",Annual,,,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)""",Violence,Percent,,"""Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children""","""Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.""",,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.""",,,,,,,
SG.VAW.5564.ME.ZS,"""Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 55-64)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women ages 55-64 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.""",Annual,,,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)""",Violence,Percent,,"""Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children""","""Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.""",,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.""",,,,,,,
SG.VAW.65PL.LT.ME.ZS,"""Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 65+)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Proportion of women who have ever experienced intimate partner violence is the percentage of ever partnered women ages 65+ who are subjected to physical violence, sexual violence or both by a current or former intimate partner in their lifetime.""",Annual,,,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)""",Violence,Percent,,"""Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children""","""Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.""",,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.""",,,,,,,
SG.VAW.65PL.ME.ZS,"""Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 65+)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women ages 65+ who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.""",Annual,,,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)""",Violence,Percent,,"""Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children""","""Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.""",,"""The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.""",,,,,,,
SG.VAW.AFSX.ZS,Proportion of women who have ever experienced any form of sexual violence (% of women ages 15-49),,,,,,Proportion of women who have ever experienced any form of sexual violence is the percentage of women ages 15-49 who ever experienced sexual violence.,,,,Demographic and Health Surveys (DHS) Statcompiler (https://www.statcompiler.com/),Violence,,,"""Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children.""","""Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.""",,"""Demographic and Health Surveys (DHS) are nationally-representative household surveys that provide data for a wide range of monitoring and impact evaluation indicators in the areas of population, health, and nutrition. The surveys use model quesionnaires that contain a core set of questions that span all questionnaires, in addition to country-specific questions. Surveys have large sample sizes (usually between 5,000 and 30,000 households) and are typically conducted about every 5 years, to allow comparisons over time. The time to complete a survey depends on survey type, survey instruments, and sample size. Eligible households and individuals are usually obtained in a sampling frame from the National Statistics Office of the country. The time it takes to conduct all interviews is on average 18-20 months. 

Data on domestic violence in DHS surveys comes from an optional module of questions. Thus, indicators in this chapter are available for some, but not all countries. Additionally, The DHS Program, in accordance with the WHO guidelines “Putting Women First: Ethical and Safety Recommendations for Research on Domestic Violence against Women” World Health Organization, 2001, randomly selects only one woman per household among all eligible women in the household selected for the individual questionnaire for this module. Thus, the number of women who have information for domestic violence will always be less than the number of women selected for the complete DHS individual interview.""",,,,,,,
SG.VAW.ARGU.Q1.ZS,Women who believe a husband is justified in beating his wife when she argues with him (%): Q1 (lowest),,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Percentage of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she argues with him. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.,Annual,,,"""Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), and other surveys""",Health: Risk factors,,,,,,,,,,,,,
SG.VAW.ARGU.Q2.ZS,Women who believe a husband is justified in beating his wife when she argues with him (%): Q2,,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Percentage of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she argues with him. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.,Annual,,,"""Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), and other surveys""",Health: Risk factors,,,,,,,,,,,,,
SG.VAW.ARGU.Q3.ZS,Women who believe a husband is justified in beating his wife when she argues with him (%): Q3,,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Percentage of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she argues with him. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.,Annual,,,"""Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), and other surveys""",Health: Risk factors,,,,,,,,,,,,,
